word,length,category,v1,v2,freq
willow,6,1,2,5,8
wire,4,1,2,4,15
wine,4,1,2,4,9
workbench,9,1,2,6,8
workshop,8,1,2,7,6
yard,4,1,1,2,34
grounds,7,2,3,4,6
body,4,3,2,4,113
bone,4,3,2,4,10
flesh,5,1,3,0,12
anastomosis,11,1,1,3,7
beard,5,3,2,3,8
beach,5,3,2,3,14
bough,5,3,2,3,6
board,5,3,2,3,28
mustache,8,1,2,5,6
tissue,6,1,2,5,37
tongue,6,1,2,5,13
tooth,5,1,2,3,38
toast,5,1,2,3,5
muscle,6,1,2,6,43
marble,6,1,2,6,8
organ,5,2,1,4,8
lip,3,1,2,0,57
leg,3,1,2,0,75
lap,3,1,2,0,11
log,3,1,2,0,7
eye,3,1,1,2,263
ear,3,1,1,2,36
mucosa,6,1,2,4,5
meteor,6,1,2,4,6
thyroid,7,1,3,5,29
artery,6,1,1,4,5
africa,6,1,1,4,0
active,6,1,1,4,16
liver,5,1,2,4,11
pleura,6,3,3,4,6
blood,5,3,3,4,61
brain,5,3,3,4,22
plasma,6,3,3,6,5
perspiration,12,3,2,6,5
hormone,7,1,2,5,6
thyroxine,9,1,3,5,9
vein,4,1,2,3,8
nucleus,7,1,2,5,10
neutrophil,10,1,2,3,5
nerve,5,1,2,5,6
neocortex,9,1,2,3,5
pituitary,9,3,2,4,5
potassium,9,3,2,4,5
hypothalamus,12,1,2,4,18
bronchus,8,3,3,7,7
bronchiole,10,3,3,7,13
jaw,3,2,2,0,9
neck,4,1,2,0,34
nest,4,1,2,0,14
throat,6,1,4,5,34
shoulder,8,2,3,4,65
breast,6,3,3,4,6
breath,6,3,3,4,15
knee,4,1,3,4,51
ankle,5,1,1,5,7
elbow,5,1,1,4,9
wrist,5,1,3,0,9
nose,4,1,2,4,28
chin,4,2,3,0,14
crop,4,2,3,0,8
face,4,1,2,4,193
brow,4,3,3,0,9
meal,4,1,2,3,20
moon,4,1,2,3,1
breakfast,9,3,3,4,12
dinner,6,3,2,5,25
debris,6,3,2,5,5
sandwich,8,2,2,6,6
vegetable,9,1,2,4,5
avocado,7,1,1,3,15
anionic,7,1,1,3,7
hay,3,1,2,3,11
eggs,4,1,1,0,6
milk,4,1,2,0,20
mars,4,1,2,0,0
mass,4,1,2,0,35
champagne,9,2,3,6,6
liquor,6,1,2,4,11
lagoon,6,1,2,4,12
liquid,6,1,2,4,19
whiskey,7,1,3,6,6
whisky,6,1,3,6,19
aegean,6,1,1,2,0
earth,5,1,1,2,20
europe,6,1,1,2,0
ion,3,1,1,2,8
jupiter,7,2,2,4,0
ground,6,2,3,4,86
micrometeorite,14,1,2,5,11
mississippi,11,1,2,5,0
mountain,8,1,2,3,17
nature,6,1,2,4,41
necessity,9,1,2,4,11
requirement,11,3,2,4,19
need,4,1,2,3,110
opening,7,2,1,3,8
pacific,7,3,2,4,0
course,6,2,2,3,61
pebble,6,3,2,6,5
field,5,1,2,3,49
planet,6,3,3,5,21
sea,3,2,2,3,37
sky,3,2,3,0,49
sun,3,2,2,0,42
universe,8,2,1,3,12
venus,5,1,2,4,0
vapor,5,1,2,4,5
flower,6,1,3,5,31
pseudophloem,12,3,3,4,6
branch,6,3,3,0,19
impurity,8,1,1,4,8
chlorine,8,2,4,6,32
helium,6,1,2,4,15
iodine,6,1,1,2,17
iodide,6,1,1,2,7
nitrogen,8,1,2,5,5
oxygen,6,2,1,3,39
zinc,4,1,2,0,6
leather,7,1,2,3,11
fur,3,1,2,0,8
graphite,8,2,3,6,5
chemical,8,2,3,5,11
clay,4,2,3,4,11
concrete,8,2,2,6,16
air,3,1,1,2,42
waste,5,1,2,5,10
fiber,5,1,2,4,14
formulation,11,1,2,5,11
preparation,11,3,3,5,14
ice,3,1,1,3,22
thyroglobulin,13,1,3,5,16
paper,5,3,2,4,30
pyrex,5,3,2,4,0
phosphate,9,3,3,7,9
polyphosphate,13,3,2,4,6
protease,8,3,3,5,5
agglutinin,10,1,1,5,8
wax,3,1,2,0,7
detergent,9,3,2,4,22
wood,4,1,2,3,14
